,event_name,target,non-target,distractor,gaze,cue,stim,condition,block,trial,score
231,non-target,,0.0,,2,5,3,split/3,3,1,-2.784316546794909
232,non-target,,0.0,,2,5,4,split/3,3,1,-1.3615700540886826
233,non-target,,0.0,,2,5,0,split/3,3,1,-4.345002029572324
234,target,0.0,,,2,5,5,split/3,3,1,-2.036980294112706
235,non-target,,0.0,,2,5,3,split/3,3,2,-0.6471667487172037
236,non-target,,0.0,,2,5,4,split/3,3,2,-2.817153129573819
237,non-target,,0.0,,2,5,0,split/3,3,2,-1.492823739922103
238,non-target,,0.0,,2,5,3,split/3,3,3,-2.4438106215594115
239,non-target,,0.0,,2,5,2,split/3,3,1,-2.286217156775975
240,non-target,,0.0,,2,5,4,split/3,3,3,-1.5901848305365496
241,target,0.0,,,2,5,5,split/3,3,2,-1.6678591373991603
242,non-target,,0.0,,2,5,2,split/3,3,2,-1.956558754428304
243,non-target,,0.0,,2,5,1,split/3,3,1,-1.537721440603913
244,target,0.0,,,2,5,5,split/3,3,3,-1.4485325000678837
245,non-target,,0.0,,2,5,3,split/3,3,4,-5.732422068997664
246,non-target,,0.0,,2,5,2,split/3,3,3,-0.6610548436771433
247,non-target,,0.0,,2,5,4,split/3,3,4,-8.368593290162567
248,non-target,,0.0,,2,5,2,split/3,3,4,-3.6084877685230605
249,non-target,,0.0,,2,5,1,split/3,3,2,-6.579541669904349
250,target,0.0,,,2,5,5,split/3,3,4,0.00015415611383406969
251,non-target,,0.0,,2,5,4,split/3,3,5,-3.475129554734181
252,target,0.0,,,2,5,5,split/3,3,5,-1.9111905233135567
253,non-target,,0.0,,2,5,1,split/3,3,3,-0.43584555842393335
254,target,0.0,,,2,5,5,split/3,3,6,-0.19711066743814598
255,non-target,,0.0,,2,5,3,split/3,3,5,-1.5627707569148965
256,non-target,,0.0,,2,5,0,split/3,3,3,-5.831047052632029
257,non-target,,0.0,,2,5,3,split/3,3,6,-1.141295060912608
258,non-target,,0.0,,2,5,1,split/3,3,4,-3.50156929687589
259,non-target,,0.0,,2,5,2,split/3,3,5,-1.4156661365369871
260,non-target,,0.0,,2,5,0,split/3,3,4,-1.8532464325526448
261,target,0.0,,,2,5,5,split/3,3,7,-1.0863560996155803
262,non-target,,0.0,,2,5,3,split/3,3,7,-5.34147786105844
263,non-target,,0.0,,2,5,0,split/3,3,5,-2.3677961493047146
264,non-target,,0.0,,2,5,1,split/3,3,5,-3.2339743016238334
265,non-target,,0.0,,2,5,4,split/3,3,6,-4.337768458362327
266,non-target,,0.0,,2,5,0,split/3,3,6,-6.879224636215321
267,non-target,,0.0,,2,5,2,split/3,3,6,-4.210104800668215
268,non-target,,0.0,,2,5,4,split/3,3,7,-1.9828344645944185
269,target,0.0,,,2,5,5,split/3,3,8,-0.33749525309749506
270,non-target,,0.0,,2,5,2,split/3,3,7,-3.2370581916892105
271,non-target,,0.0,,2,5,1,split/3,3,6,-0.29721171840142135
272,non-target,,0.0,,2,5,3,split/3,3,8,-2.539516032362442
273,non-target,,0.0,,2,5,2,split/3,3,8,-3.4801189376535655
274,non-target,,0.0,,2,5,1,split/3,3,7,-3.6955632904503886
275,non-target,,0.0,,2,5,4,split/3,3,8,-3.705611242363289
276,non-target,,0.0,,2,5,1,split/3,3,8,-5.213357859107777
277,non-target,,0.0,,2,5,0,split/3,3,7,-2.8404644210946506
278,non-target,,0.0,,2,5,1,split/3,3,9,-4.7208251842848945
279,target,0.0,,,2,5,5,split/3,3,9,0.19266643367557057
280,non-target,,0.0,,2,5,1,split/3,3,10,-3.67072234311156
281,non-target,,0.0,,2,5,0,split/3,3,8,-5.169927049159492
283,non-target,,0.0,,2,5,3,split/3,3,9,-3.1786042262901657
284,non-target,,0.0,,2,5,4,split/3,3,9,-2.642955211856094
285,target,0.0,,,2,5,5,split/3,3,10,1.190173930934276
287,non-target,,0.0,,2,5,3,split/3,3,10,-3.813980106322605
288,non-target,,0.0,,2,5,0,split/3,3,9,-1.3302183255395004
290,non-target,,0.0,,2,5,2,split/3,3,9,-1.4882109554277618
291,non-target,,0.0,,2,5,0,split/3,3,10,-2.5258132407352125
293,non-target,,0.0,,2,5,4,split/3,3,10,-1.9548571241668367
297,non-target,,0.0,,2,5,2,split/3,3,10,-3.5880047402779898
